SIMT;X;Y;CODINFRA;Nombre Paradero;Modo
L1_AL;352211.9645;6301539.482;ALCANTARA;Alcantara;METRO
L3_AV;347339.3743;6296706.933;MATTA;Avenida Matta;METRO
L1_BA;348131.5461;6299073.006;BAQUEDANO L1;Baquedano L1;METRO
L1_BA;348131.5461;6299073.006;BAQUEDANO L1;L1-L5;METRO
L5_BA;348131.5461;6299073.006;BAQUEDANO L5;Baquedano L5;METRO
L5_BA;348131.5461;6299073.006;BAQUEDANO L5;L5-L1;METRO
L5_BR;338373.089;6297175.941;BARRANCAS;Barrancas;METRO
L5_BE;347128.2197;6299099.555;BELLAS ARTES;Bellas Artes;METRO
L5_LF;351442.0083;6289937.74;BELLAVISTA DE LA FLORIDA;Bellavista de la Florida;METRO
L6_BB;347437.9917;6294691.075;BIO BIO;Bio Bio;METRO
L5_BL;341298.9739;6298462.749;BLANQUEADO;Blanqueado;METRO
L2_CA;346328.9844;6299530.535;CAL Y CANTO L2;Cal y Canto L2;METRO
L2_CA;346328.9844;6299530.535;CAL Y CANTO L2;L2-L3;METRO
L3_CA;346328.9844;6299530.535;CAL Y CANTO L3;Cal y Canto L3;METRO
L3_CA;346328.9844;6299530.535;CAL Y CANTO L3;L3-L2;METRO
L5_AG;349732.6231;6293043.091;CAMINO AGRICOLA;Camino Agricola;METRO
L3_CC;343151.4916;6306041.916;CARDENAL CARO;Cardenal Caro;METRO
L5_CV;349525.2799;6293699.126;CARLOS VALDOVINOS;Carlos Valdovinos;METRO
L2_CE;347178.1558;6301600.002;CEMENTERIOS;Cementerios;METRO
L6_CE;342473.1156;6293838.312;CERRILLOS;Cerrillos;METRO
L2_CB;347061.7231;6300657.616;CERRO BLANCO;Cerro Blanco;METRO
L3_CE;351531.6842;6297132.436;CHILE ESPANA;Chile-España;METRO
L2_CN;346111.4812;6290925.506;CIUDAD DEL NINO;Ciudad del Nino;METRO
L3_CO;344737.8357;6303347.192;CONCHALI;Conchali;METRO
L4_CO;352089.1079;6300328.791;CRISTOBAL COLON;Cristobal Colon;METRO
L5_RC;344910.4223;6298788.369;CUMMING;Cumming;METRO
L5_DS;337157.3077;6293015.739;DEL SOL;Del Sol;METRO
L2_DE;346304.2471;6291772.206;DEPARTAMENTAL;Departamental;METRO
L2_DO;347230.2129;6303516.626;DORSAL;Dorsal;METRO
L1_EC;342036.7091;6296861.883;ECUADOR;Ecuador;METRO
L2_EI;347203.251;6302525.747;EINSTEIN;Einstein;METRO
L1_GO;351634.3598;6301388.007;EL GOLF;El Golf;METRO
L2_LL;346751.8691;6293981.328;EL LLANO;El Llano;METRO
L2_EP;345716.6975;6289103.607;EL PARRON;El Parron;METRO
L4_EA;353015.863;6284462.519;ELISA CORREA;Elisa Correa;METRO
L1_EM;352786.1256;6301722.7;ESCUELA MILITAR;Escuela Militar;METRO
MT_AL;343959.7522;6297431.759;Estacion Alameda;Alameda;METROTREN
L1_EL;343933.0505;6297455.84;ESTACION CENTRAL;Estacion Central;METRO
MT_CP;342093.4559;6277905.46;Estacion Cinco Pinos;Cinco Pinos;METROTREN
MT_FR;342391.1622;6282324.633;Estacion Freire;Freire;METROTREN
MT_LB;342357.5626;6283795.87;Estacion Lo Blanco;Lo Blanco;METROTREN
MT_LE;343422.3776;6290478.004;Estacion Lo Espejo;Lo Espejo;METROTREN
MT_LV;343819.855;6294470.584;Estacion Lo Valledor;Lo Valledor MT;METROTREN
MT_MA;342550.4979;6280182.172;Estacion Maestranza;Maestranza;METROTREN
MT_NO;341799.1692;6277070.038;Estacion Nos;Nos;METROTREN
MT_PAC;343755.7372;6292897.413;Estacion Pedro Aguirre Cerda;Pedro Aguirre Cerda;METROTREN
MT_SB;342448.3458;6281532.274;Estacion San Bernardo;San Bernardo;METROTREN
L6_EN;350743.2011;6296308.849;ESTADIO NACIONAL;Estadio Nacional;METRO
L3_FC;355206.2744;6297510.091;FERNANDO CASTILLO VELASCO;Fernando Castillo Velasco;METRO
L4_BI;352686.735;6299754.528;FRANCISCO BILBAO;Francisco Bilbao;METRO
;346752.2423;6294677.546;FRANKLIN;;METRO
L2_FR;346752.2423;6294677.546;FRANKLIN L2;Franklin L2;METRO
L2_FR;346752.2423;6294677.546;FRANKLIN L2;L2-L6;METRO
L6_FR;346752.2423;6294677.546;FRANKLIN L6;Franklin L6;METRO
L6_FR;346752.2423;6294677.546;FRANKLIN L6;L6-L2;METRO
L4_RG;353534.1221;6295626.573;GRECIA;Grecia;METRO
L5_GL;342825.4494;6298847.405;GRUTA DE LOURDES;Gruta de Lourdes;METRO
L1_HM;355290.6288;6302409.089;HERNANDO DE MAGALLANES;Hernando de Magallanes;METRO
L4_HS;353142.549;6283681.743;HOSPITAL SOTERO DEL RIO;Hospital Sotero del Rio;METRO
L3_HO;345993.081;6301182.801;HOSPITALES;Hospitales;METRO
L6_IS;350601.9448;6298902.447;INES DE SUAREZ;Ines de Suarez;METRO
;348674.9464;6297122.476;IRARRAZAVAL;;METRO
L3_IR;348674.9464;6297122.476;IRARRAZAVAL L3;Irarrazaval;METRO
L3_IR;348674.9464;6297122.476;IRARRAZAVAL L3;L3-L5;METRO
L5_IR;348674.9464;6297122.476;IRARRAZAVAL L5;Irarrazaval;METRO
L5_IR;348674.9464;6297122.476;IRARRAZAVAL L5;L5-L3;METRO
L2_LC;345472.013;6287899.456;LA CISTERNA L2;La Cisterna L2;METRO
L2_LC;345472.013;6287899.456;LA CISTERNA L2;L2-L4A;METRO
L4A_LC;345472.013;6287899.456;LA CISTERNA L4A;La Cisterna L4A;METRO
L4A_LC;345472.013;6287899.456;LA CISTERNA L4A;L4A-L2;METRO
L4A_LG;349963.5284;6287550.587;LA GRANJA;La Granja;METRO
L1_LM;346186.4123;6298170.01;LA MONEDA;La Moneda;METRO
L5_LS;338479.8415;6296080.29;LAGUNA SUR;Laguna Sur;METRO
L4_ME;353666.7743;6280844.049;LAS MERCEDES;Las Mercedes;METRO
L5_PA;338319.9318;6294654.401;LAS PARCELAS;Las Parcelas;METRO
L1_LR;341453.7121;6296729.21;LAS REJAS;Las Rejas;METRO
L4_LT;352576.6682;6292149.896;LAS TORRES;Las Torres;METRO
L2_LO;345952.3918;6290142.338;LO OVALLE;Lo Ovalle;METRO
L5_PR;340457.1196;6298250.008;LO PRADO;Lo Prado;METRO
;343819.855;6294470.584;LO VALLEDOR;;METRO
L6_LV;343819.855;6294470.584;LO VALLEDOR L6;Lo Valledor L6;METRO
L6_LV;343819.855;6294470.584;LO VALLEDOR L6;L6-MT;METRO
MT_LV;343819.855;6294470.584;LO VALLEDOR MT;MT-L6;METRO
L2_LV;346437.3263;6292360.403;LO VIAL;Lo Vial;METRO
L1_LD;356323.2541;6302425.479;LOS DOMINICOS;Los Dominicos;METRO
L1_LH;345676.0783;6298027.109;LOS HEROES L1;Los Heroes L1;METRO
L1_LH;345676.0783;6298027.109;LOS HEROES L1;L1-L2;METRO
L2_LH;345676.0783;6298027.109;LOS HEROES L2;Los Heroes L2;METRO
L2_LH;345676.0783;6298027.109;LOS HEROES L2;L2-L1;METRO
L1_LE;350465.2169;6300834.409;LOS LEONES L1;Los Leones L1;METRO
L1_LE;350465.2169;6300834.409;LOS LEONES L1;L1-L6;METRO
L6_LE;350465.2169;6300834.409;LOS LEONES L6;Los Leones L6;METRO
L6_LE;350465.2169;6300834.409;LOS LEONES L6;L6-L1;METRO
L3_LL;342543.9974;6306923.264;LOS LIBERTADORES;Los Libertadores;METRO
L4_OR;353747.3998;6296335.53;LOS ORIENTALES;Los Orientales;METRO
L4_LP;353319.3661;6294405.733;LOS PRESIDENTES;Los Presidentes;METRO
L4_LQ;352845.2087;6285433.501;LOS QUILLAYES;Los Quillayes;METRO
L4_MC;352367.5512;6291176.106;MACUL;Macul;METRO
L1_MQ;354128.4614;6302242.241;MANQUEHUE;Manquehue;METRO
L1_MM;349467.4211;6300053.522;MANUEL MONTT;Manuel Montt;METRO
L5_MA;350786.442;6290691.355;MIRADOR;Mirador;METRO
L3_ME;350011.1965;6297309.469;MONSENOR EYZAGUIRRE;Monsenor Eyzaguirre;METRO
L5_MT;337855.9204;6293934.285;MONTE TABOR;Monte Tabor;METRO
L1_NP;339888.9415;6297325.753;NEPTUNO;Neptuno;METRO
;348985.0322;6295759.772;NUBLE;;METRO
L5_UN;348985.0322;6295759.772;NUBLE L5;Nuble L5;METRO
L5_UN;348985.0322;6295759.772;NUBLE L5;L5-L6;METRO
L6_UN;348985.0322;6295759.772;NUBLE L6;Nuble L6;METRO
L6_UN;348985.0322;6295759.772;NUBLE L6;L6-L5;METRO
L3_NU;350834.3728;6297213.082;NUNOA L3;Nunoa L3;METRO
L3_NU;350834.3728;6297213.082;NUNOA L3;L3-L6;METRO
L6_NU;350834.3728;6297213.082;NUNOA L6;Nunoa L6;METRO
L6_NU;350834.3728;6297213.082;NUNOA L6;L6-L3;METRO
L1_PJ;340543.2204;6296622.82;PAJARITOS;Pajaritos;METRO
L3_PA;346603.8908;6297450.825;PARQUE ALMAGRO;Parque Almagro;METRO
L5_PB;348337.6996;6298433.614;PARQUE BUSTAMANTE;Parque Bustamante;METRO
L2_PQ;346022.7895;6296436.358;PARQUE OHIGGINS;Parque Ohiggins;METRO
L2_PT;346879.8166;6299869.911;PATRONATO;Patronato;METRO
L6_PA;345326.6793;6294404.684;PDTE PEDRO AGUIRRE CERDA;Pedro Aguirre Cerda;METRO
L5_PE;350212.8638;6291250.776;PEDRERO;Pedrero;METRO
L1_PV;349921.4022;6300379.563;PEDRO DE VALDIVIA;Pedro de Valdivia;METRO
L3_PC;345539.7434;6302405.72;PLAZA CHACABUCO;Plaza Chacabuco;METRO
L3_PZ;346453.4819;6299022.863;PLAZA DE ARMAS L3;Plaza de Armas L3;METRO
L3_PZ;346453.4819;6299022.863;PLAZA DE ARMAS L3;L3-L5;METRO
L5_PZ;346453.4819;6299022.863;PLAZA DE ARMAS L5;Plaza de Armas L5;METRO
L5_PZ;346453.4819;6299022.863;PLAZA DE ARMAS L5;L5-L3;METRO
L4_PP;353798.9226;6280022.2;PLAZA DE PUENTE ALTO;Plaza de Puente Alto;METRO
;354016.3902;6297334.132;PLAZA EGANA;;METRO
L3_EG;354016.3902;6297334.132;PLAZA EGANA L3;Plaza Egaña L3;METRO
L3_EG;354016.3902;6297334.132;PLAZA EGANA L3;L3-L4;METRO
L4_EG;354016.3902;6297334.132;PLAZA EGANA L4;Plaza Egana L4;METRO
L4_EG;354016.3902;6297334.132;PLAZA EGANA L4;L4-L3;METRO
L5_PM;336788.713;6290732.182;PLAZA MAIPU;Plaza Maipu;METRO
L4_GA;353773.5444;6298919.355;PRINCIPE DE GALES;Principe de Gales;METRO
L4_PI;353412.1585;6282263.402;PROTECTORA DE LA INFANCIA;Protectora de la Infancia;METRO
L5_PU;338200.0435;6298042.541;PUDAHUEL;Pudahuel;METRO
L4_RQ;353192.0616;6293494.104;QUILIN;Quilin;METRO
L5_QN;343803.4594;6298639.214;QUINTA NORMAL;Quinta Normal;METRO
L1_RP;345006.4042;6297807.867;REPUBLICA;Republica;METRO
L5_RA;349263.8622;6294596.215;RODRIGO DE ARAYA;Rodrigo de Araya;METRO
L4_RM;352108.2221;6288169.842;ROJAS MAGALLANES;Rojas Magallanes;METRO
L2_RO;346089.6369;6295374.97;RONDIZONNI;Rondizzonni;METRO
L1_SA;348789.8936;6299514.337;SALVADOR;Salvador;METRO
L1_AH;342705.5115;6297087.314;SAN ALBERTO HURTADO;San Alberto Hurtado;METRO
L5_SJ;349884.6326;6292298.68;SAN JOAQUIN;San Joaquin;METRO
L4_JE;352714.6862;6286237.949;SAN JOSE DE LA ESTRELLA;San Jose de la Estrella;METRO
L2_SM;346601.5895;6293302.913;SAN MIGUEL;San Miguel;METRO
L1_SP;339814.075;6298134.216;SAN PABLO L1;San Pablo L1;METRO
L1_SP;339814.075;6298134.216;SAN PABLO L1;L1-L5;METRO
L5_SP;339814.075;6298134.216;SAN PABLO L5;San Pablo L5;METRO
L5_SP;339814.075;6298134.216;SAN PABLO L5;L5-L1;METRO
L4A_RN;347391.1398;6287503.934;SAN RAMON;San Ramon;METRO
L2_AN;345718.7848;6298910.451;SANTA ANA L2;Santa Ana L2;METRO
L2_AN;345718.7848;6298910.451;SANTA ANA L2;L2-L5;METRO
L5_AN;345718.7848;6298910.451;SANTA ANA L5;Santa Ana L5;METRO
L5_AN;345718.7848;6298910.451;SANTA ANA L5;L5-L2;METRO
L5_SI;348459.3621;6297956.933;SANTA ISABEL;Santa Isabel;METRO
L4A_JU;350918.3159;6288678.217;SANTA JULIA;Santa Julia;METRO
L1_SL;347027.7038;6298423.608;SANTA LUCIA;Santa Lucia;METRO
L4A_SR;348279.8478;6287371.909;SANTA ROSA;Santa Rosa;METRO
L5_BU;336731.3444;6292270.467;SANTIAGO BUERAS;Santiago Bueras;METRO
L4_SB;353882.7408;6298173.363;SIMON BOLIVAR;Simon Bolivar;METRO
L1_TB;351084.3574;6301220.84;TOBALABA L1;Tobalaba L1;METRO
L1_TB;351084.3574;6301220.84;TOBALABA L1;L1-L4;METRO
L4_TB;351084.3574;6301220.84;TOBALABA L4;Tobalaba L4;METRO
L4_TB;351084.3574;6301220.84;TOBALABA L4;L4-L1;METRO
L2_TO;345850.6758;6297265.362;TOESCA;Toesca;METRO
L4_TR;352602.5401;6286938.974;TRINIDAD;Trinidad;METRO
L1_LA;344484.9271;6297631.448;UNION LATINO AMERICANA;Union Latino Americana;METRO
L1_UC;347504.0769;6298705.65;UNIVERSIDAD CATOLICA;Universidad Catolica;METRO
L1_CH;346542.0145;6298273.159;UNIVERSIDAD DE CHILE L1;Universidad de Chile L1;METRO
L1_CH;346542.0145;6298273.159;UNIVERSIDAD DE CHILE L1;L1-L3;METRO
L3_CH;346542.0145;6298273.159;UNIVERSIDAD DE CHILE L3;Universidad de Chile L3;METRO
L3_CH;346542.0145;6298273.159;UNIVERSIDAD DE CHILE L3;L3-L1;METRO
L1_US;343287.6073;6297231.763;UNIVERSIDAD DE SANTIAGO;Universidad de Santiago;METRO
L2_AV;346816.0536;6305325.947;VESPUCIO NORTE;Vespucio Norte;METRO
;351723.9886;6289229.915;VICENTE VALDES;;METRO
L4_VA;351723.9886;6289229.915;VICENTE VALDES L4;Vicente Valdes L4;METRO
L4_VA;351723.9886;6289229.915;VICENTE VALDES L4;L4-L5;METRO
L5_VA;351723.9886;6289229.915;VICENTE VALDES L5;Vicente Valdes L5;METRO
L5_VA;351723.9886;6289229.915;VICENTE VALDES L5;L5-L4;METRO
;351798.0802;6289999.125;VICUNA MACKENNA;;METRO
L4_VM;351798.0802;6289999.125;VICUNA MACKENNA L4;Vicuna Mackenna L4;METRO
L4_VM;351798.0802;6289999.125;VICUNA MACKENNA L4;L4-L4A;METRO
L4A_VM;351798.0802;6289999.125;VICUNA MACKENNA L4A;Vicuna Mackenna L4A;METRO
L4A_VM;351798.0802;6289999.125;VICUNA MACKENNA L4A;L4A-L4;METRO
L3_VF;353068.7761;6297191.438;VILLA FREI;Villa Frei;METRO
L3_VI;343812.9267;6304671.162;VIVACETA;Vivaceta;METRO
L2_ZA;347241.9032;6304167.092;ZAPADORES;Zapadores;METRO
